traceID,spanID,process.serviceName,operationName,startTime,startTimeMillis,duration,tags,references,references.0.refType,references.0.spanID,references.0.traceID
287cd12bd870d5f0,1457e9b217bf315b,nginx-web-server,register_client,1669361909591808,1669361909591,205001,,,CHILD_OF,44beea93eaa02336,287cd12bd870d5f0
150d20098c1c38ac,2bf7d8f8c7604dcc,nginx-web-server,register_client,1669361909592321,1669361909592,117927,,,CHILD_OF,2138bda9a4d4b745,150d20098c1c38ac
1f0d2dc55d29b91e,8fa9a9526c9bc50a,nginx-web-server,register_client,1669361909593228,1669361909593,206930,,,CHILD_OF,e2ef8a2ad90a162d,1f0d2dc55d29b91e
81618f18c15ca70,7b692a5dad881a49,nginx-web-server,register_client,1669361909601011,1669361909601,70535,,,CHILD_OF,6c14c657f1109c55,81618f18c15ca70
203502afc4242f68,31f0fd68c92a88b0,nginx-web-server,register_client,1669361909606343,1669361909606,177244,,,CHILD_OF,f0c2128a46cde613,203502afc4242f68
2d00ba0b97a3eec5,45df448de929e392,nginx-web-server,register_client,1669361909606470,1669361909606,181365,,,CHILD_OF,d04958d18f700a6e,2d00ba0b97a3eec5
1b6a0e8fd57f6a60,cc332ac98482a02,nginx-web-server,register_client,1669361909606594,1669361909606,175048,,,CHILD_OF,e43ecae629a4fbd2,1b6a0e8fd57f6a60
1a29a25b462ff97,d441a7ca420b2ff6,nginx-web-server,register_client,1669361909606729,1669361909606,96349,,,CHILD_OF,eab291070d928441,1a29a25b462ff97
1ef3de522a778565,4ad021917dff36d,nginx-web-server,register_client,1669361909607838,1669361909607,69970,,,CHILD_OF,af9baf116adda0ef,1ef3de522a778565
1d2c04cd6f5f36d9,33e1b862c4be5efa,nginx-web-server,register_client,1669361909608722,1669361909608,178194,,,CHILD_OF,14aa5daecdd61bdf,1d2c04cd6f5f36d9
c791bee49c8e3ea,da84bc1d39e8b0a0,nginx-web-server,register_client,1669361909616822,1669361909616,172413,,,CHILD_OF,e88fdb25613c310,c791bee49c8e3ea
3ccb3f54d1d180e,67a6b4c716776ba3,nginx-web-server,register_client,1669361909625645,1669361909625,195202,,,CHILD_OF,c30d12ebf0c2fef,3ccb3f54d1d180e
b468bfb4d8ee864,29fa24379e27679b,nginx-web-server,register_client,1669361909628410,1669361909628,191373,,,CHILD_OF,99b4a68213493c69,b468bfb4d8ee864
f3c7b235d805d28,d31c618928368427,nginx-web-server,register_client,1669361909628642,1669361909628,182850,,,CHILD_OF,34850b456993a872,f3c7b235d805d28
dbe1d0febe60473,ef96e035e2be6361,nginx-web-server,register_client,1669361909628930,1669361909628,48871,,,CHILD_OF,f2079b97d545227c,dbe1d0febe60473
26cdac9d1905b531,e6162d647af4143,nginx-web-server,register_client,1669361909629973,1669361909629,46189,,,CHILD_OF,3d97db538c7ba28a,26cdac9d1905b531
2c234da1f83ce8c,51b4737e3dce964d,nginx-web-server,register_client,1669361909636660,1669361909636,103718,,,CHILD_OF,d815a9183ff4dc7c,2c234da1f83ce8c
1c43a90fe14e3c8c,5dce7e07b64e74fa,nginx-web-server,register_client,1669361909637420,1669361909637,102661,,,CHILD_OF,75a1070e6b1b90e8,1c43a90fe14e3c8c
a5ea2c4021caa6e,6fec5f37eb7270ae,nginx-web-server,register_client,1669361909637776,1669361909637,142386,,,CHILD_OF,32c78930734e0d15,a5ea2c4021caa6e
24f0618eaec1ebdb,e12e1801e5c9d14c,nginx-web-server,register_client,1669361909639136,1669361909639,123049,,,CHILD_OF,157bf6b8979fd06,24f0618eaec1ebdb
e98ca5d32df9ff7,259a876392b10331,nginx-web-server,register_client,1669361909648737,1669361909648,53747,,,CHILD_OF,6ec67deb2c877ce3,e98ca5d32df9ff7
1b50623214b7382,aa9a300547680fcc,nginx-web-server,register_client,1669361909648873,1669361909648,48668,,,CHILD_OF,b3c244a332e164c0,1b50623214b7382
185719941b8edb99,1422a22013ccaf15,nginx-web-server,register_client,1669361909649268,1669361909649,32196,,,CHILD_OF,8ec5f85f5556190,185719941b8edb99
15efc24dc82feac5,2d086a67eeceb924,nginx-web-server,register_client,1669361909649521,1669361909649,46180,,,CHILD_OF,c6383e9d08b0dd7b,15efc24dc82feac5
2a56b7c3bff535a3,85049e643017703b,nginx-web-server,register_client,1669361909650112,1669361909650,179845,,,CHILD_OF,58ceaeddc6175eb2,2a56b7c3bff535a3
f17c2a3c64ebd4b,6d6e919dc7ed94c1,nginx-web-server,register_client,1669361909650929,1669361909650,192431,,,CHILD_OF,a99e4c56c3fdd525,f17c2a3c64ebd4b
27d698548154ef6e,1577bbe58bd4d7d0,nginx-web-server,register_client,1669361909651313,1669361909651,184395,,,CHILD_OF,b1161aeb10b785f0,27d698548154ef6e
d3d6d1b9e67da1,88a512f7d7647e11,nginx-web-server,register_client,1669361909658044,1669361909658,91263,,,CHILD_OF,49e19b5cd0425543,d3d6d1b9e67da1
1e270efc0964e5d9,5e1742d425a60bc6,nginx-web-server,register_client,1669361909662876,1669361909662,101037,,,CHILD_OF,6de8c926567e8aff,1e270efc0964e5d9
2922e46de7a19f8a,4727bcf335d696f,nginx-web-server,register_client,1669361909662993,1669361909662,93212,,,CHILD_OF,5ac9d7e3b186e638,2922e46de7a19f8a
c124c22d8a52fe5,10b5cd279c0d5c2a,nginx-web-server,register_client,1669361909663287,1669361909663,102216,,,CHILD_OF,cfe51ab5099d1067,c124c22d8a52fe5
2f31fb5a06ae5e56,36903c115220a6f0,nginx-web-server,register_client,1669361909664893,1669361909664,48972,,,CHILD_OF,787f5c8a08be9708,2f31fb5a06ae5e56
45a5bb7923c2fa0,f5b51ea337606d44,nginx-web-server,register_client,1669361909665248,1669361909665,49694,,,CHILD_OF,d408a4c6d54d869,45a5bb7923c2fa0
27cddcbc968d92f2,84629a6501f88958,nginx-web-server,register_client,1669361909665367,1669361909665,180559,,,CHILD_OF,457458c7271f6ed6,27cddcbc968d92f2
32d25541d89d084e,2ffa24aa0b75064c,nginx-web-server,register_client,1669361909668858,1669361909668,105461,,,CHILD_OF,da864c1ad8e26e16,32d25541d89d084e
1f0dc877eb230a95,ecf2b4a21af0b79b,nginx-web-server,register_client,1669361909669436,1669361909669,68965,,,CHILD_OF,1a3e0f1cca4e3bbd,1f0dc877eb230a95
f7bc3e6cb054232,8690c89c3d153a7,nginx-web-server,register_client,1669361909968480,1669361909968,208345,,,CHILD_OF,13955fb53208e61f,f7bc3e6cb054232
1a28f6ed2e0fe973,660aa5b41ccfb986,nginx-web-server,register_client,1669361909969523,1669361909969,203579,,,CHILD_OF,c28ff7044e93561c,1a28f6ed2e0fe973
13538e74dac2fad8,76094befc70f2abe,nginx-web-server,register_client,1669361909969885,1669361909969,157270,,,CHILD_OF,424e6f52ab985db,13538e74dac2fad8
2066c7a0c958c0f3,3ea44ac613430a4d,nginx-web-server,register_client,1669361909970652,1669361909970,178469,,,CHILD_OF,dd64ba7998ada12e,2066c7a0c958c0f3
236ea58d5163f4b6,34ea65278320996b,nginx-web-server,register_client,1669361909972213,1669361909972,110898,,,CHILD_OF,dc330b7d68f9ccdd,236ea58d5163f4b6
6d609ca6c6250a0,b85ef476074664bd,nginx-web-server,register_client,1669361909972929,1669361909972,192448,,,CHILD_OF,f94a0c1a8e78360a,6d609ca6c6250a0
98124433caacb56,85940e9b53fd6499,nginx-web-server,register_client,1669361909973184,1669361909973,138608,,,CHILD_OF,9dd64acfd4a43671,98124433caacb56
32df6833edd6324f,fbe01340c61d89cc,nginx-web-server,register_client,1669361909973314,1669361909973,114686,,,CHILD_OF,d9be99600e9330b8,32df6833edd6324f
