Node,traceID,nodeID,node_pair,StartTime,Timestamp
2534,4bac388d1741257,1891269a31247b78,"(3, 3)",1669540964103255,2022-11-27 09:22:44.103255
2535,4bac388d1741257,a83ed872b2a98f4e,"(3, 4)",1669540964103313,2022-11-27 09:22:44.103313
2536,4bac388d1741257,6c2a4816041f3e62,"(4, 5)",1669540964103525,2022-11-27 09:22:44.103525
2537,4bac388d1741257,2779a53d7c8100f2,"(5, 6)",1669540964103534,2022-11-27 09:22:44.103534
2538,4bac388d1741257,cf6facff3fdc055a,"(5, 7)",1669540964103763,2022-11-27 09:22:44.103763
2539,4bac388d1741257,f12606b8e678bb2f,"(7, 8)",1669540964103941,2022-11-27 09:22:44.103941
2540,42beb55bf9e2cfa,42beb55bf9e2cfa,"(0, 51)",1669540964236000,2022-11-27 09:22:44.236000
2541,42beb55bf9e2cfa,89caf33fb778def2,"(51, 51)",1669540964236825,2022-11-27 09:22:44.236825
2542,42beb55bf9e2cfa,d0dacccabed02ffa,"(51, 52)",1669540964236863,2022-11-27 09:22:44.236863
2543,42beb55bf9e2cfa,7b050010b243913f,"(52, 53)",1669540964237038,2022-11-27 09:22:44.237038
2544,7996ec907724c7d,145309cfc6db0061,"(0, 1)",1669540964328000,2022-11-27 09:22:44.328000
2545,7996ec907724c7d,5a4c2c344f17ae9b,"(1, 1)",1669540964328246,2022-11-27 09:22:44.328246
2546,7996ec907724c7d,72c328da7b139d5d,"(1, 2)",1669540964328338,2022-11-27 09:22:44.328338
2547,7996ec907724c7d,b159fde6d4f1f91,"(2, 9)",1669540964328594,2022-11-27 09:22:44.328594
2548,7996ec907724c7d,6c2b5fa60b0c4192,"(9, 10)",1669540964328607,2022-11-27 09:22:44.328607
2549,7996ec907724c7d,1eef6348210ede22,"(9, 49)",1669540964328811,2022-11-27 09:22:44.328811
2550,7996ec907724c7d,cc38e2702498002,"(9, 50)",1669540964329845,2022-11-27 09:22:44.329845
2551,7996ec907724c7d,f6d7f532cfe70ae0,"(9, 7)",1669540964329989,2022-11-27 09:22:44.329989
2552,2702d82fd1e3a4bd,dbef5a85b1a0f7c,"(0, 18)",1669540964388000,2022-11-27 09:22:44.388000
2553,2702d82fd1e3a4bd,b1e505c3b0950fc,"(18, 18)",1669540964388375,2022-11-27 09:22:44.388375
2554,2702d82fd1e3a4bd,c0d3103705f8196,"(18, 19)",1669540964388454,2022-11-27 09:22:44.388454
2555,2702d82fd1e3a4bd,ee80b2836f7d8427,"(19, 20)",1669540964388627,2022-11-27 09:22:44.388627
2556,2702d82fd1e3a4bd,d1264e5e9e530e4f,"(20, 23)",1669540964388715,2022-11-27 09:22:44.388715
2557,2702d82fd1e3a4bd,9a0b81a25abfa0f1,"(20, 26)",1669540964388777,2022-11-27 09:22:44.388777
2558,2702d82fd1e3a4bd,1e8e1e0938c1c4ac,"(20, 21)",1669540964388790,2022-11-27 09:22:44.388790
2559,2702d82fd1e3a4bd,14d54c0b84890fe7,"(20, 22)",1669540964388842,2022-11-27 09:22:44.388842
2563,2702d82fd1e3a4bd,3e5ec9d0e6cbfb3,"(23, 27)",1669540964388880,2022-11-27 09:22:44.388880
2564,2702d82fd1e3a4bd,b298f36ee2e9c57b,"(26, 28)",1669540964388935,2022-11-27 09:22:44.388935
2566,2702d82fd1e3a4bd,5f50bb91d32803fd,"(22, 24)",1669540964389043,2022-11-27 09:22:44.389043
2567,2702d82fd1e3a4bd,c12589d46efcdb70,"(27, 29)",1669540964389145,2022-11-27 09:22:44.389145
2568,2702d82fd1e3a4bd,c5331ef0c70cfc45,"(27, 30)",1669540964389160,2022-11-27 09:22:44.389160
2569,2702d82fd1e3a4bd,cef12523d7c167b7,"(29, 31)",1669540964389251,2022-11-27 09:22:44.389251
2565,2702d82fd1e3a4bd,249e1d93a589d8bf,"(21, 25)",1669540964389264,2022-11-27 09:22:44.389264
2571,2702d82fd1e3a4bd,2cffcffaa43aeb11,"(31, 32)",1669540964389329,2022-11-27 09:22:44.389329
2570,2702d82fd1e3a4bd,483328b17db5d017,"(30, 33)",1669540964389415,2022-11-27 09:22:44.389415
